subject-label,subject-qid,predicate,pid,object,object-qid,start_time,end_time,reference_url
Erhard Blankenburg,Q51595283,educated at,P69,University of Freiburg,Q153987,,,https://de.wikipedia.org/wiki/Erhard_Blankenburg
Erhard Blankenburg,Q51595283,educated at,P69,Free University Berlin,Q153006,,,https://de.wikipedia.org/wiki/Erhard_Blankenburg
Erhard Blankenburg,Q51595283,educated at,P69,University of Oregon,Q766145,,,https://de.wikipedia.org/wiki/Erhard_Blankenburg
Erhard Blankenburg,Q51595283,educated at,P69,University of Basel,Q372608,,1965,https://de.wikipedia.org/wiki/Erhard_Blankenburg
Erhard Blankenburg,Q51595283,academic degree,P512,Master of Arts,Q2091008,1965,1965,https://de.wikipedia.org/wiki/Erhard_Blankenburg
Erhard Blankenburg,Q51595283,academic degree,P512,Doctor of Philosophy,Q752297,1966,1966,https://de.wikipedia.org/wiki/Erhard_Blankenburg
Erhard Blankenburg,Q51595283,employer,P108,University of Freiburg,Q153987,1966,1968,https://de.wikipedia.org/wiki/Erhard_Blankenburg
Erhard Blankenburg,Q51595283,employer,P108,Quickborner Team,Q124866772,1969,1971,https://de.wikipedia.org/wiki/Erhard_Blankenburg
Erhard Blankenburg,Q51595283,employer,P108,Prognos AG,Q2112115,,1973,https://de.wikipedia.org/wiki/Erhard_Blankenburg
Erhard Blankenburg,Q51595283,employer,P108,Max Planck Institute for Foreign and International Criminal Law,Q832780,1973,1974,https://de.wikipedia.org/wiki/Erhard_Blankenburg
Erhard Blankenburg,Q51595283,academic degree,P512,habilitation,Q308678,1974,1974,https://de.wikipedia.org/wiki/Erhard_Blankenburg
Erhard Blankenburg,Q51595283,employed by,P463,WZB Berlin Social Science Center,Q475602,1975,1980,https://de.wikipedia.org/wiki/Erhard_Blankenburg
Erhard Blankenburg,Q51595283,academic appointment,P8413,Free University of Amsterdam,Q1065414,1980,,https://de.wikipedia.org/wiki/Erhard_Blankenburg
Erhard Blankenburg,Q51595283,affiliated with,P1416,International Institute for the Sociology of Law,Q1459361,,,https://de.wikipedia.org/wiki/Erhard_Blankenburg
Erhard Blankenburg,Q51595283,editor,P98,Zeitschrift fur Rechtssoziologie,Q96335163,,,https://de.wikipedia.org/wiki/Erhard_Blankenburg
Zeitschrift fur Rechtssoziologie,Q65972149,founded by,P112,Erhard Blankenburg,Q51595283,,,https://de.wikipedia.org/wiki/Erhard_Blankenburg
Erhard Blankenburg,Q51595283,academic appointment,P8413,Free University of Amsterdam,Q1065414,,2003,https://www.linkedin.com/in/erhard-blankenburg-63938058/
