fullName,qid
Hans Kelsen,Q84165
Hugo Sinzheimer,Q86043
Karl Renner,Q11726
Ernst Fraenkel,Q86812
Franz Leopold Neumann,Q63195
Otto Kahn-Freund,Q121832
Otto Kirchheimer,Q214397
Ludwig Bendix,Q15449424
Arthur Nussbaum,Q103088
Theodor Geiger,Q96410
Erhard Blankenburg,Q51595283
Wolfgang Kaupen,Q93221485
Rüdiger Lautmann,Q91074
Thilo Ramm,Q59533838
Rudolf Wiethölter,Q1512482
Niklas Luhmann,Q57238
Hubert Rottleuthner,Q55622018
Ralf Rogowski,Q112499743
Ralf Rogowski,Q20128038
Gunther Teubner,Q98304
Volkmar Gessner,Q15435946
Konstanze Plett,Q95192683
Ute Sacksofsky,Q48562036
Susanne Baer,Q101872
